budget,original_language,popularity,runtime,status,vote_average,vote_count,release_year,profit_level,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,total_directed
150000000.0,en,114.522237,131.0,Released,7.1,3224,2015,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
150000000.0,en,21.214571,102.0,Released,5.5,549,2010,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0
150000000.0,en,29.332905,91.0,Released,5.7,1171,2007,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
150000000.0,en,51.247321,91.0,Released,6.7,1880,2011,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
150000000.0,en,33.769336,103.0,Released,4.7,1151,2010,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.0
150000000.0,en,63.079003,126.0,Released,6.5,2028,2006,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
150000000.0,en,39.004588,131.0,Released,6.4,1891,2013,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
150000000.0,en,12.362599,88.0,Released,5.5,199,2011,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
149000000.0,en,22.550135,85.0,Released,6.0,874,2006,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
150000000.0,en,48.03528,111.0,Released,5.9,954,2015,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.0
145000000.0,en,38.73494,92.0,Released,6.7,843,2014,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0
175000000.0,en,66.803149,163.0,Released,6.9,2759,2004,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0
